name,user_score,critics,users,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing,released_year,released_month,released_day,updated_year,updated_month,updated_day,is_in_top_100_publisher,is_in_top_100_developer,genery,platform,publisher,developer
Gurumin: A Monstrous Adventure,7.6,41,23,3.33,4,6,53,15,441,0,15,21,223,6,2,4,0,2006,6,29,2019,9,17,0,0,Role-Playing,PC,Mastiff,Nihon Falcom
Vanquish,8.8,21,396,4.04,4,4,348,410,674,0,414,129,1738,295,72,94,27,2010,10,19,2020,8,3,1,1,Action,Xbox One,SEGA,Platinum Games
Madden NFL 07,6.6,18,16,3.28,3,0,46,18,334,0,18,1,121,9,1,10,0,2006,8,22,2019,9,17,1,0,Sports,Xbox,Electronic Arts,Electronic Arts Canada
Yoshi's Woolly World,8.5,83,453,4.07,4,0,0,25,327,1,27,13,19,31,12,11,8,2015,10,16,2020,7,25,1,0,Action Adventure,Wii U,Nintendo,Good-Feel
Stellaris,8.0,57,828,4.25,4,12,228,421,402,0,428,125,1983,113,43,156,121,2016,5,8,2020,9,17,1,1,Strategy,Linux,Paradox Interactive,Paradox Development Studio
The Jackbox Party Pack 5,7.1,13,9,4.16,4,2,80,60,136,0,61,5,269,21,14,16,10,2018,10,16,2019,9,17,0,0,Miscellaneous,Linux,Jackbox Games,Jackbox Games
Super Rude Bear Resurrection,5.0,12,6,2.42,3,3,57,12,535,0,12,34,340,1,0,5,0,2017,5,2,2019,9,17,0,0,Action,Linux,Alex Rose Games,Alex Rose
Bomberman Land Touch!,7.6,15,12,0.0,0,0,0,1,91,0,1,0,2,2,0,1,0,2006,11,7,2019,9,12,1,0,Miscellaneous,Nintendo DS,Atlus,HUDSON SOFT CO.
Big Bang Mini,8.2,39,28,0.0,0,0,0,3,225,0,3,0,4,3,0,1,1,2009,1,13,2019,9,12,0,0,Action,Nintendo DS,South Peak Interactive,Arkedo Studio
Mortal Kombat 11,3.9,13,332,3.99,4,8,175,529,465,19,538,81,1404,249,283,111,115,2019,4,23,2019,11,18,1,0,Action,PC,Warner Bros. Interactive,Warner Bros. Interactive
Wasteland 3,6.7,16,105,4.01,4,8,119,85,458,2,86,49,491,33,195,32,27,2020,8,28,2020,10,20,0,1,Role-Playing,Linux,Deep Silver,InXile Entertainment
WWE '13,8.0,46,124,3.57,4,0,83,47,419,0,47,1,195,28,0,21,1,2012,10,30,2019,9,17,0,0,Action,Xbox 360,THQ,Yuke's
Tell Me Why,6.0,45,200,3.71,4,4,25,39,653,0,41,35,250,36,78,9,10,2020,8,27,2020,10,21,0,0,Adventure,PC,Xbox Game Studios,DONTNOD Entertainment
Pro Evolution Soccer 2010,6.8,42,82,3.56,4,22,94,52,528,18,52,0,241,39,1,23,0,2009,10,23,2020,6,3,1,1,Sports,Xbox 360,Konami,Konami Digital Entertainment
Hotel Dusk: Room 215,8.5,57,121,4.43,5,16,0,36,141,1,37,10,9,33,13,11,2,2007,1,22,2020,2,3,1,0,Adventure,Nintendo DS,Nintendo,Cing
Borderlands 3,5.8,43,1178,3.92,4,9,162,392,687,4,400,158,1357,199,442,84,140,2019,9,13,2020,9,12,0,0,Action,PC,2K Games,2K
Prototype,7.7,83,381,3.71,4,3,114,565,1238,0,566,57,1302,575,47,163,9,2009,6,9,2020,6,29,1,0,Action Adventure,PC,Activision Blizzard,Activision
Project: Snowblind,8.0,54,26,2.86,3,1,0,22,531,0,22,34,564,11,4,8,0,2005,3,29,2020,1,8,1,0,Action,PC,Square Enix,Crystal Dynamics
The Thing,7.4,27,43,3.77,4,0,0,30,522,0,30,11,12,19,12,18,3,2002,8,20,2019,9,7,1,0,Action Adventure,PC,Vivendi Universal Games,Computer Artworks
Granblue Fantasy: Versus,6.4,54,81,3.93,4,13,48,14,728,2,15,5,98,6,33,4,7,2020,3,13,2020,7,24,0,0,Action,PC,XSEED Games,Arc System Works
Alien: Isolation,8.0,24,396,4.21,5,4,329,895,562,0,900,324,3524,498,200,347,104,2014,10,6,2019,9,17,0,0,Action Adventure,Nintendo Switch,SEGA,Feral Interactive
DeadCore,6.7,11,43,3.38,4,1,79,61,584,0,61,29,560,16,5,21,2,2014,10,17,2019,9,17,1,0,Action,macOS,Bandai Namco Entertainment,Grip Digital
Neverwinter Nights: Shadows of Undrentide,7.7,24,98,3.96,4,0,0,23,448,0,23,2,4,22,9,4,0,2003,7,27,2019,4,23,1,0,Role-Playing,PC,Atari,BioWare
Duke Nukem: Manhattan Project,7.7,24,62,3.7,4,1,12,46,480,10,46,21,445,41,6,23,2,2002,5,21,2020,12,7,0,0,Action,Xbox 360,Gearbox Software,3D Realms
Konami Collector's Series: Arcade Advanced,8.8,10,4,0.0,0,0,0,0,202,0,0,0,1,0,1,0,0,2002,3,21,2019,9,12,0,1,Miscellaneous,Game Boy Advance,Konami,Konami Digital Entertainment
Dauntless,5.3,15,215,2.99,3,0,19,284,627,0,290,31,705,20,29,229,36,2019,5,21,2019,12,11,0,0,Role-Playing,iOS,INFORMATION SOLUTIONS GROUP,Phoenix Games
Noita,8.0,17,19,3.92,4,2,1,63,498,0,63,38,402,15,80,21,27,2020,10,15,2020,10,20,0,0,Adventure,PC,Nolla Games,Nolla Games
Freedom Finger,8.7,7,49,0.0,0,1,59,0,363,0,0,2,13,0,6,0,0,2019,9,27,2020,3,30,0,0,Action,Xbox One,Wide Right Interactive,Wide Right Interactive
Bridge Constructor Portal,3.4,7,16,3.68,4,3,63,132,195,2,133,31,545,29,17,69,21,2017,12,19,2020,9,18,1,0,Simulation,Linux,Headup Games,Headup Games
Wuppo,8.3,7,32,3.05,4,3,62,44,379,0,44,68,738,14,6,20,0,2016,9,28,2019,10,12,0,0,Action,PC,SOEDESCO Publishing,SOEDESCO Publishing
Joe Danger 2: The Movie,6.0,9,21,2.64,3,2,70,69,368,0,69,54,1121,4,6,51,0,2012,9,14,2019,9,17,0,0,Action,Linux,Microsoft Studios,Hello Games
Robocalypse,8.2,15,19,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,2008,11,18,2019,1,9,1,0,Strategy,Nintendo DS,Tecmo,Vogster Entertainment
For Honor,6.1,59,1051,3.3,4,7,121,1183,704,0,1188,443,4468,195,60,678,91,2017,2,13,2020,2,6,1,0,Action Adventure,PC,Ubisoft Entertainment,Ubisoft
The Disney Afternoon Collection,6.2,8,11,3.97,4,2,60,68,307,0,68,19,393,14,8,21,4,2017,4,18,2020,7,29,1,0,Miscellaneous,PC,Capcom,Capcom
Closure,6.5,8,64,2.97,3,2,16,59,258,0,59,75,1146,18,2,26,3,2012,3,27,2019,9,17,0,0,Action,PC,Eyebrow Interactive,Eyebrow Interactive
Dead Rising 2,6.5,17,246,3.49,4,5,300,400,331,0,401,106,1998,220,23,211,10,2010,8,31,2020,1,7,1,0,Action Adventure,PC,Capcom,Capcom U.S.A
Insurgency: Sandstorm,8.3,30,176,4.0,4,4,38,92,334,1,92,23,347,10,32,48,25,2018,12,12,2019,9,17,1,0,General,PC,Focus Home Interactive,New World Interactive
TumbleSeed,7.4,15,50,3.0,3,1,21,29,197,0,29,23,257,5,2,24,2,2017,5,2,2019,9,17,0,0,Action,macOS,aeiowu,David Laskey
Murder by Numbers,7.2,18,16,3.33,4,7,4,6,190,0,6,12,38,3,25,4,4,2020,3,5,2020,12,16,0,0,Adventure,PC,The Irregular,Mediatonic
SUPERHOT: MIND CONTROL DELETE,6.7,34,59,3.89,4,2,1,93,231,2,96,96,1570,44,54,36,27,2020,7,15,2020,9,11,0,0,Action,Linux,SUPERHOT Team,SUPERHOT Team
Forgotton Anne,6.8,23,54,3.89,4,5,76,61,454,0,66,45,258,45,70,16,7,2018,5,14,2020,5,30,0,0,Adventure,iOS,Square Enix,Square Enix
